lt;pl;id;class;;;;
kitas;inny;57;NEW;;;;
keistas;dziwny;58;NEW;;;;
varpa;penis;59;NEW;;;;
makštis;pochwa;60;NEW;;;;
ranka;ręka;61;NEW;;;;
koja;noga;62;NEW;;;;
akis;oko;63;NEW;;;;
ausis;ucho;64;NEW;;;;
nosis;nos;65;NEW;;;;
dantis;ząb;66;NEW;;;;
visada;zawsze;67;NEW;;;;
tik;dopiero;68;NEW;;;;
mergina  mergaitė;dziewczyna;69;NEW;;;;
berniukas;chłopak;70;NEW;;;;
šuo;pies;71;NEW;;;;
katė;kot;72;NEW;;;;
jau;już;73;NEW;;;;
daugiau;jeszcze;74;NEW;;;;
dabar;teraz;75;NEW;;;;
čia;tutaj;76;NEW;;;;
šiandien;dzisiaj;77;NEW;;;;
telefonas;telefon;78;NEW;;;;
kompiuteris;komputer;79;NEW;;;;
svarbus;ważny;80;NEW;;;;
pagrindinis;główny;81;NEW;;;;
blogas;zły;82;NEW;;;;
geras;dobry;83;NEW;;;;
vaisius;owoc;84;NEW;;;;
senas;stary;85;NEW;;;;
jaunas;młody;86;NEW;;;;
niekas;nikt;87;NEW;;;;
dalykas;rzecz;88;NEW;;;;
rytoj;jutro;89;NEW;;;;
gydytojas;lekarz;90;NEW;;;;
su;z (with);91;NEW;;;;
pigus;tani;92;NEW;;;;
brangus;drogi;93;NEW;;;;
druska;sól;94;NEW;;;;
daina;piosenka;95;NEW;;;;
sūris;ser;96;NEW;;;;
vyšnia;wiśnia;97;NEW;;;;
miškas;las;98;NEW;;;;
medis;drzewo;99;NEW;;;;
beržas;brzoza;100;NEW;;;;
kelnės;spodnie;101;NEW;;;;
apavas;buty;102;NEW;;;;
avalynė;buty;103;NEW;;;;
be to;ponadto;104;NEW;;;;
veidas;twarz;105;NEW;;;;
ilgas;długi;106;NEW;;;;
eiti;iść;107;NEW;;;;
būti;być;108;NEW;;;;
pamatyti;widzieć;109;NEW;;;;
patikti;lubić;110;NEW;;;;
bala;kałuża;111;NEW;;;;
nykštys;kciuk;112;NEW;;;;
gerti;pić;113;NEW;;;;
valgyti;jeść;114;NEW;;;;
miegoti;spać;115;NEW;;;;
kalbėti;mówić;116;NEW;;;;
nužudyti;zabijać;117;NEW;;;;
girdėti;słyszeć;118;NEW;;;;
turėti;mieć;119;NEW;;;;
vemti;wymiotować;120;NEW;;;;
skaityti;czytać;121;NEW;;;;
pirkti;kupować;122;NEW;;;;
parduoti;sprzedawać;123;NEW;;;;
minutė;minuta;124;NEW;;;;
valanda;godzina;125;NEW;;;;
sekundė;sekunda;126;NEW;;;;
pirmasis;pierwszy;127;NEW;;;;
antras;drugi;128;NEW;;;;
terčias;trzeci;129;NEW;;;;
atverti;otwierać;130;NEW;;;;
idėja;pomysł;131;NEW;;;;
momentas;chwila;132;NEW;;;;
uždaryti;zamykać;133;NEW;;;;
(pa)galvoti;myśleć;134;NEW;;;;
mintis;myśl;135;NEW;;;;
požiuris;podejście;136;NEW;;;;
vystymasis;rozwój;137;NEW;;;;
nuotrauka;fotografia  zdjęcie;138;NEW;;;;
mokytojas;nauczyciel;139;NEW;;;;
studentas;student;140;NEW;;;;
mokynis;uczeń;141;NEW;;;;
mokytis;uczyć się;142;NEW;;;;
taip pat;też;143;NEW;;;;
gyvūnas;zwierzę;144;NEW;;;;
augalas;roślina;145;NEW;;;;
gėlė;kwiat;146;NEW;;;;
kitas;następny;147;NEW;;;;
ankstesnis;poprzedni;148;NEW;;;;
paskutinis;ostatni;149;NEW;;;;
padažas;sos;150;NEW;;;;
duona;chleb;151;NEW;;;;
sakinys;zdanie;152;NEW;;;;
makaronai;makaron;153;NEW;;;;
plaukas;włos;154;NEW;;;;
durys;drzwi;155;NEW;;;;
langas;okno;156;NEW;;;;
sveikas;zdrowy;157;NEW;;;;
sergantis;chory;158;NEW;;;;
gyventi;mieszkać;159;NEW;;;;
skanus;smaczny;160;NEW;;;;
asmuo;osoba;161;NEW;;;;
lova;łóżko;162;NEW;;;;
burna;usta;163;NEW;;;;
atlyginimas;wynagrodzenie;164;NEW;;;;
direktorius;dyrektor;165;NEW;;;;
avarija;wypadek;166;NEW;;;;
prezidentas;prezydent;167;NEW;;;;
pokalbis;rozmowa;168;NEW;;;;
turi;musieć;169;NEW;;;;
norėti;chcieć;170;NEW;;;;
įrodymas;dowód;171;NEW;;;;
mesti;rzucać;172;NEW;;;;
sugauti;łapać;173;NEW;;;;
duoti;dawać;174;NEW;;;;
prarasti;tracić;175;NEW;;;;
bokštas;wieża;176;NEW;;;;
sėti;siać;177;NEW;;;;
sudėti;włożyć;178;NEW;;;;
pradžia;początek;179;NEW;;;;
pabaiga;koniec;180;NEW;;;;
centras;środek;181;NEW;;;;
pradėti;zaczynać;182;NEW;;;;
baigti;kończyć;183;NEW;;;;
bėgti  paleisti;biegać;184;NEW;;;;
dviratis;rower;185;NEW;;;;
asilas;tyłek;186;NEW;;;;
trikampis;trójkąt;187;NEW;;;;
kiaušinis;jajko;188;NEW;;;;
bamba;pępek;189;NEW;;;;
morka;marchew;190;NEW;;;;
kunigas;ksiądz;191;NEW;;;;
pipiras;papryka;192;NEW;;;;
vergas;niewolnik;193;NEW;;;;
lokys;niedźwiedź;194;NEW;;;;
šaka;gałąź;195;NEW;;;;
nuodai;trucizna;196;NEW;;;;
seifas;sejf;197;NEW;;;;
kalakutas;indyk;198;NEW;;;;
lobis;skarb;199;NEW;;;;
ploti;klaskać;200;NEW;;;;
stuburas;kręgosłup;201;NEW;;;;
strutis;struś;202;NEW;;;;
vėžlys;żółw;203;NEW;;;;
kivis;kiwi;204;NEW;;;;
deimantas;diament;205;NEW;;;;
šaknis;korzeń;206;NEW;;;;
lenta;deska;207;NEW;;;;
šalikas;szalik;208;NEW;;;;
mašina;samochód;209;NEW;;;;
anūkas;wnuk;210;NEW;;;;
kepti;piec (czas.);211;NEW;;;;
ragas;rogi (poroże);212;NEW;;;;
kampas;kąt;213;NEW;;;;
žemuogė;poziomka;214;NEW;;;;
kostiumas;garnitur;215;NEW;;;;
dykuma;pustynia;216;NEW;;;;
omaras;homar;217;NEW;;;;
aštuonkojis;ośmiornica;218;NEW;;;;
šachmatai;szachy;219;NEW;;;;
sėklos;ziarno;220;NEW;;;;
bebras;bóbr;221;NEW;;;;
krabas;krab;222;NEW;;;;
saldainis;cukierek;223;NEW;;;;
kaminas;komin;224;NEW;;;;
petarda;petarda;225;NEW;;;;
labirintas;labirynt;226;NEW;;;;
kalnas;góra;227;NEW;;;;
ugnikalnis;wulkan;228;NEW;;;;
pėdos;stopa;229;NEW;;;;
pasaulis;świat;230;NEW;;;;
storas;gruby;231;NEW;;;;
kelias;ścieżka;232;NEW;;;;
lietus;deszcz;233;NEW;;;;
baklažanas;bakłażan;234;NEW;;;;
pomidoras;pomidor;235;NEW;;;;
kėdė;krzesło;236;NEW;;;;
lašas;kropla;237;NEW;;;;
mazgas;supeł;238;NEW;;;;
nagas;pazur  paznokieć;239;NEW;;;;
kvadratas;kwadrat;240;NEW;;;;
pilis;zamek;241;NEW;;;;
mirtis;śmierć;242;NEW;;;;
platus;szeroki;243;NEW;;;;
laivas;statek;244;NEW;;;;
ugnis;ogień;245;NEW;;;;
vagonas;wagon;246;NEW;;;;
liftas;winda;247;NEW;;;;
kengūra;kangur;248;NEW;;;;
plyta;cegła;249;NEW;;;;
špinatas;szpinak;250;NEW;;;;
pienas;mleko;251;NEW;;;;
burokas;burak;252;NEW;;;;
žuvis;ryba;253;NEW;;;;
paukštis;ptak;254;NEW;;;;
sala;wyspa;255;NEW;;;;
naktis;noc;256;NEW;;;;
kompasas;kompas;257;NEW;;;;
medus;miód;258;NEW;;;;
skustis;golić się;259;NEW;;;;
pinigai;pieniądze;260;NEW;;;;
obuolys;jabłko;261;NEW;;;;
virti;gotować;262;NEW;;;;
plauti;myć;263;NEW;;;;
kriaušės;gruszka;264;NEW;;;;
skristi;lecieć;265;NEW;;;;
drugys;motyl;266;NEW;;;;
kabelis;kabel;267;NEW;;;;
ratas;koło;268;NEW;;;;
debesis;chmura;269;NEW;;;;
radiatorius;kaloryfer;270;NEW;;;;
miestas;miasto;271;NEW;;;;
pilvas;brzuch;272;NEW;;;;
tapyti;malować;273;NEW;;;;
sraigė;ślimak;274;NEW;;;;
česnakas;czosnek;275;NEW;;;;
medalis;medal;276;NEW;;;;
kaktos;czoło;277;NEW;;;;
pabaisa;potwór;278;NEW;;;;
lašiša;łosoś;279;NEW;;;;
galva;głowa;280;NEW;;;;
daug;dużo;281;NEW;;;;
kalėtės;mało;282;NEW;;;;
lengvas;lekki;283;NEW;;;;
sunkus;ciężki;284;NEW;;;;
kelis;kolano;285;NEW;;;;
laikas;czas;286;NEW;;;;
vaivorykšte;tęcza;287;NEW;;;;
garažas;garaż;288;NEW;;;;
termosas;termos;289;NEW;;;;
antikas;brew;290;NEW;;;;
stalas;stół;291;NEW;;;;
ryžiai;ryż;292;NEW;;;;
horizontalus;poziomy;293;NEW;;;;
vertikalus;pionowy;294;NEW;;;;
kukurūzas;kukurydza;295;NEW;;;;
skrynia;skrzynia;296;NEW;;;;
purvas;błoto;297;NEW;;;;
žirafa;żyrafa;298;NEW;;;;
stogas;dach;299;NEW;;;;
gatvė;droga;300;NEW;;;;
laimėti;wygrać;301;NEW;;;;
vazonas;doniczka;302;NEW;;;;
Kinija;Chiny;303;NEW;;;;
pižama;piżama;304;NEW;;;;
Estija;Estonia;305;NEW;;;;
Suomija;Finlandia;306;NEW;;;;
Šveicarija;Szwajcaria;307;NEW;;;;
Švedija;Szwecja;308;NEW;;;;
Vokietija;Niemcy;309;NEW;;;;
Jungtinė Karalystė;Wielka Brytania;310;NEW;;;;
Airija;Irlandia;311;NEW;;;;
Baltarusija;Białoruś;312;NEW;;;;
Ukraina;Ukraina;313;NEW;;;;
Rusija;Rosja;314;NEW;;;;
brendas;wspólny;315;NEW;;;;
kuris;który;316;NEW;;;;
brendija;wspólnota;317;NEW;;;;
Slovėnija;Słowenia;318;NEW;;;;
bei;oraz;319;NEW;;;;
išskyrus;oprócz;320;NEW;;;;
rinka;rynek;321;NEW;;;;
leisvas;wolny (free);322;NEW;;;;
greitas;szybki;323;NEW;;;;
lėtas;wolny (nieszybki);324;NEW;;;;
sultys;sok;325;NEW;;;;
kraujas;krew;326;NEW;;;;
arbatos;herbata;327;NEW;;;;
kavos;kawa;328;NEW;;;;
alus;piwo;329;NEW;;;;
karas;wojna;330;NEW;;;;
konfliktas;konflikt;331;NEW;;;;
problema;problem;332;NEW;;;;
tikslas;cel;333;NEW;;;;
rezultatas;rezultat;334;NEW;;;;
priežastis;przyczyna;335;NEW;;;;
pieštukas;ołówek;336;NEW;;;;
vėjas;wiatr;337;NEW;;;;
dalis;część;338;NEW;;;;
Graikija;Grecja;339;NEW;;;;
Nyderlandai;Holandia;340;NEW;;;;
Prancūzija;Francja;341;NEW;;;;
dydis;rozmiar;342;NEW;;;;
vertės;wartość;343;NEW;;;;
kaina;cena;344;NEW;;;;
krantus;brzeg;345;NEW;;;;
rašyti;pisać;346;NEW;;;;
dirbti;pracować;347;NEW;;;;
kaita;zmiana;348;NEW;;;;
(pa)keisti;zmieniać;349;NEW;;;;
jūra;morze;350;NEW;;;;
ežeras;jezioro;351;NEW;;;;
smėlis;piasek;352;NEW;;;;
šviesa;światło;353;NEW;;;;
nieko;nic;354;NEW;;;;
visi;wszystko;355;NEW;;;;
šimtas;sto;356;NEW;;;;
tūkstantis;tysiąc;357;NEW;;;;
šalis;kraj;358;NEW;;;;
moteris;kobieta;359;NEW;;;;
vyras;mężczyzna;360;NEW;;;;
žmonės;ludzie;361;NEW;;;;
jūrininkas;marynarz;362;NEW;;;;
po;po;363;NEW;;;;
intensyvus;intensywny;364;NEW;;;;
tačiau;jednakże;365;NEW;;;;
netrukus;wkrótce  niedługo potem;366;NEW;;;;
sienos;ściana;367;NEW;;;;
grindys;podłoga;368;NEW;;;;
lubos;sufit;369;NEW;;;;
malonus;miły;370;NEW;;;;
mandagus;grzeczny;371;NEW;;;;
atžarus;niemiły;372;NEW;;;;
tylus;cichy;373;NEW;;;;
garsus;głośny;374;NEW;;;;
papildomas;dodatkowy;375;NEW;;;;
tipiškas;typowy;376;NEW;;;;
partneris;partner;377;NEW;;;;
pilnas;pełny;378;NEW;;;;
tuščias;pusty;379;NEW;;;;
plaukti;pływać;380;NEW;;;;
kritikuoti;krytykować;381;NEW;;;;
kalkuliatorius;kalkulator;382;NEW;;;;
svogūnas;cebula;383;NEW;;;;
rūsys;piwnica;384;NEW;;;;
mobilusis telefonas;komórka;385;NEW;;;;
cerkvė;cerkiew;386;NEW;;;;
pelė;mysz;387;NEW;;;;
viela;kabel;388;NEW;;;;
klubas;biodro;389;NEW;;;;
suprasti;rozumieć;390;NEW;;;;
mėnulis;księżyc;391;NEW;;;;
saulė;słońce;392;NEW;;;;
raumenys;mięsień;393;NEW;;;;
palangė;parapet;394;NEW;;;;
ašara;łza;395;NEW;;;;
bilietas;bilet;396;NEW;;;;
žolė;trawa;397;NEW;;;;
karvė;krowa;398;NEW;;;;
karalienė;królowa;399;NEW;;;;
karalius;król;400;NEW;;;;
upė;rzeka;401;NEW;;;;
brokolis;brokuł;402;NEW;;;;
batas;buty;403;NEW;;;;
tvora;płot;404;NEW;;;;
laižyti;lizać;405;NEW;;;;
kaktusas;kaktus;406;NEW;;;;
puodelis;kubek;407;NEW;;;;
kranas;kran;408;NEW;;;;
gipsas;gips;409;NEW;;;;
orka;orka;410;NEW;;;;
tigras;tygrys;411;NEW;;;;
raganosis;nosorożec;412;NEW;;;;
aktorius;aktor;413;NEW;;;;
plunksna;pióro;414;NEW;;;;
pianinas;pianino;415;NEW;;;;
banknotas;banknot;416;NEW;;;;
arbūzas;arbuz;417;NEW;;;;
padas;podeszwa;418;NEW;;;;
dėžutė;pudełko;419;NEW;;;;
namas;dom;420;NEW;;;;
ožka;koza;421;NEW;;;;
angelas;anioł;422;NEW;;;;
šūdas;gówno;423;NEW;;;;
šikti;srać;424;NEW;;;;
kvailas;głupi;425;NEW;;;;
protingas;inteligentny;426;NEW;;;;
vargšas;biedny;427;NEW;;;;
aukštas;wysoki;428;NEW;;;;
trumpas;niski;429;NEW;;;;
turtingas;bogaty;430;NEW;;;;
pirmadienis;poniedziałek;431;NEW;;;;
antradienis;wtorek;432;NEW;;;;
trečiadienis;środa;433;NEW;;;;
ketvirtadienis;czwartek;434;NEW;;;;
penktadienis;piątek;435;NEW;;;;
šeštadienis;sobota;436;NEW;;;;
sekmadienis;niedziela;437;NEW;;;;
Sausis;styczeń;438;NEW;;;;
Vasaris;luty;439;NEW;;;;
Kovas;marzec;440;NEW;;;;
Balandis;kwiecień;441;NEW;;;;
Gegužė;maj;442;NEW;;;;
Birželis;czerwiec;443;NEW;;;;
Liepa;lipiec;444;NEW;;;;
Rugpjūtis;sierpień;445;NEW;;;;
Rugsėjis;wrzesień;446;NEW;;;;
Spalis;październik;447;NEW;;;;
Lapkritis;listopad;448;NEW;;;;
Gruodis;grudzień;449;NEW;;;;
gamykla;fabryka;450;NEW;;;;
fabrikas;fabryka;451;NEW;;;;
įmonė;firma;452;NEW;;;;
riba;limit;453;NEW;;;;
kartu;razem;454;NEW;;;;
drauge;razem;455;NEW;;;;
rinkimus;wybory;456;NEW;;;;
smurtas;przemoc;457;NEW;;;;
esu/esi/yra/esame/esate/yra;być odmiana;458;NEW;;;;
einu/eini/eina/einame/einate/eina;iść odmiana;459;NEW;;;;
sakau/sakai/sako/sakome/sakote/sako;mówić odmiana;460;NEW;;;;
rašau/rašai/rašo/rašome/rašote/rašo;pisać odmiana;461;NEW;;;;
paimti;brać;462;NEW;;;;
gauti;otrzymywać;463;NEW;;;;
paklausti;pytać;464;NEW;;;;
atsakyti;odpowiadać;465;NEW;;;;
nekęsti;nienawidzić;466;NEW;;;;
mylėti;kochać;467;NEW;;;;
Papildyti;dodawać;468;NEW;;;;
Ištrinti;usuwać;469;NEW;;;;
kurti;tworzyć;470;NEW;;;;
valdyti;rządzić;471;NEW;;;;
stumti;pchać;472;NEW;;;;
traukti;ciągnąć;473;NEW;;;;
pakenkti;ranić;474;NEW;;;;
smogti;uderzyć;475;NEW;;;;
spardyti;kopnąć;476;NEW;;;;
Turėti;musieć;477;NEW;;;;
Norėti;chcieć;478;NEW;;;;
rasti;znaleźć;479;NEW;;;;
prarasti;tracić;480;NEW;;;;
patvirtinti;akceptować;481;NEW;;;;
atmesti;odrzucać;482;NEW;;;;
kur;gdzie;483;NEW;;;;
kas;kto;484;NEW;;;;
kai;kiedy;485;NEW;;;;
kodėl;dlaczego;486;NEW;;;;
nuo  iš;od;487;NEW;;;;
į;do;488;NEW;;;;
koks;co;489;NEW;;;;
ieškoti;szukać;490;NEW;;;;
parašas;podpis;491;NEW;;;;
kortelė;karta;492;NEW;;;;
būstas;mieszkanie/dom;493;NEW;;;;
visiškai;całkowicie;494;NEW;;;;
erdvė;przestrzeń;495;NEW;;;;
dar;wciąż;496;NEW;;;;
elektra;prąd;497;NEW;;;;
žinia;wiadomość;498;NEW;;;;
beveik;prawie;499;NEW;;;;
labai;bardzo;500;NEW;;;;
galima;móc;501;NEW;;;;
vienuolika;11;502;NEW;;;;
dvylika;12;503;NEW;;;;
siųsti;wysłać;504;NEW;;;;
daržovių;warzywa;505;NEW;;;;
šviežias;świeży;506;NEW;;;;
knyga;książka;507;NEW;;;;
mišios;msza;508;NEW;;;;
misija;misja;509;NEW;;;;
pasirinkimas;opcja;510;NEW;;;;
pasakyti;powiedzieć;511;NEW;;;;
verkti;płakać;512;NEW;;;;
pavadinimas;imię  nazwa;513;NEW;;;;
rėkti;krzyczeć;514;NEW;;;;
ar;lub  albo;515;NEW;;;;
paprasčiausiai;po prostu;516;NEW;;;;
paprastas;łatwy;517;NEW;;;;
sunkus;trudny;518;NEW;;;;
liepsna;płomień;519;NEW;;;;
laužas;ognisko;520;NEW;;;;
gilus;głęboki;521;NEW;;;;
negilus;płytki;522;NEW;;;;
būtinas;konieczne;523;NEW;;;;
kovoti;walczyć;524;NEW;;;;
kryptis;kierunek;525;NEW;;;;
nurodymas;instrukcja;526;NEW;;;;
o;i;527;NEW;;;;
didingas;wspaniały;528;NEW;;;;
epocha;epoka;529;NEW;;;;
pagaliau;nareszcie  w końcu;530;NEW;;;;
tauta;naród;531;NEW;;;;
itin;w szczególności;532;NEW;;;;
pusė;pół;533;NEW;;;;
laikraščiai;gazety;534;NEW;;;;
laikraštis;gazeta;535;NEW;;;;
saldus;słodki;536;NEW;;;;
sūrus;słony;537;NEW;;;;
metalas;metal;538;NEW;;;;
medinis;drewniany;539;NEW;;;;
minkštas;miękki;540;NEW;;;;
kietas;twardy;541;NEW;;;;
kairys;lewy;542;NEW;;;;
dešinys;prawy;543;NEW;;;;
plikas;łysy;544;NEW;;;;
politikas;polityk;545;NEW;;;;
anapus;poza;546;NEW;;;;
todėl  taip;więc;547;NEW;;;;
procentas;procent;548;NEW;;;;
baterija;bateria;549;NEW;;;;
silpnas;słaby;550;NEW;;;;
stiprus;silny;551;NEW;;;;
galia;moc;552;NEW;;;;
ką tik;przed chwilą;553;NEW;;;;
įrašas;post  wpis;554;NEW;;;;
prieš;przed;555;NEW;;;;
tai;to;556;NEW;;;;
apie;o (czymś);557;NEW;;;;
stipresnis;silniejszy;558;NEW;;;;
stipriausias;najsilniejszy;559;NEW;;;;
rasė;rasa;560;NEW;;;;
išstumti;wypchnąć;561;NEW;;;;
už;dla  aby;562;NEW;;;;
realus;prawdziwy;563;NEW;;;;
skruostas;policzek;564;NEW;;;;
ūsai;wąsy;565;NEW;;;;
barzda;broda;566;NEW;;;;
gimtadienis;urodziny;567;NEW;;;;
gyvenimas;życie;568;NEW;;;;
plotas;przestrzeń;569;NEW;;;;
vieta;miejsce;570;NEW;;;;
pavykti;succeed;571;NEW;;;;
užimti;okupować;572;NEW;;;;
valdžia;moc;573;NEW;;;;
tapti;zostać (become);574;NEW;;;;
prasidėti;zaczynać;575;NEW;;;;
paslaptis;tajemnica;576;NEW;;;;
vaikas;dziecko;577;NEW;;;;
paskala;plotka;578;NEW;;;;
meilė;miłość;579;NEW;;;;
moteris;kobieta;580;NEW;;;;
garsus;głośny;581;NEW;;;;
tylus;cichy;582;NEW;;;;
ramus;cichy  spokojny;583;NEW;;;;
gana;całkiem  raczej (quite);584;NEW;;;;
komentaras;komentarz;585;NEW;;;;
auksinis;złoty;586;NEW;;;;
saugus;bezpieczny;587;NEW;;;;
karštas;gorący  ciepły;588;NEW;;;;
šaltis;zimny;589;NEW;;;;
vidutinis;przeciętny;590;NEW;;;;
asmeninis;osobisty;591;NEW;;;;
žaidimas;gra;592;NEW;;;;
žaisti;grać;593;NEW;;;;
rutulys;kula;594;NEW;;;;
kamuolys;piłka;595;NEW;;;;
raportas;raport;596;NEW;;;;
priešas;wróg;597;NEW;;;;
draugas;przyjaciel;598;NEW;;;;
sąrašas;lista;599;NEW;;;;
butelis;butelka;600;NEW;;;;
pavasaris;wiosna;601;NEW;;;;
vasara;lato;602;NEW;;;;
ruduo;jesień;603;NEW;;;;
žiema;zima;604;NEW;;;;
akinius;okulary;605;NEW;;;;
rašiklis;długopis;606;NEW;;;;
apdovanojimas;nagroda;607;NEW;;;;
traukinys;pociąg;608;NEW;;;;
pakeisti;zmieniać;609;NEW;;;;
kaita;zmiana;610;NEW;;;;
paradoksas;paradoks;611;NEW;;;;
karvė;krowa;612;NEW;;;;
kiaulė;świnia;613;NEW;;;;
parduotuvė;sklep;614;NEW;;;;
pavogti;kraść;615;NEW;;;;
grįžti;wrócić;616;NEW;;;;
pavyzdys;przykład;617;NEW;;;;
šalis;kraj;618;NEW;;;;
tiesa;prawda ;619;NEW;;;;
meluoti;kłamać;620;NEW;;;;
šiukšlės;śmieć;621;NEW;;;;
stiklas;szkło;622;NEW;;;;
skaičius;liczba;623;NEW;;;;
degtinė;wódka;624;NEW;;;;
alkoholis;alkohol;625;NEW;;;;
bėda;kłopot;626;NEW;;;;
problema;problem;627;NEW;;;;
reitingas;ranking;628;NEW;;;;
svečias;gość;629;NEW;;;;
visas;cały;630;NEW;;;;
pavargęs;zmęczony;631;NEW;;;;
nustebęs;zdziwiony;632;NEW;;;;
visi;wszystko;633;NEW;;;;
ausines;słuchawki;634;NEW;;;;
kartus;gorzki;635;NEW;;;;
rūgščių;kwaśny;636;NEW;;;;
padėti;pomóc;637;NEW;;;;
vaivadija;województwo;638;NEW;;;;
buvęs;były  poprzedni;639;NEW;;;;
įkurti;założyć (found);640;NEW;;;;
taikos;pokój (peace);641;NEW;;;;
laureatas;laureat  zwycięzca;642;NEW;;;;
iki;do;643;NEW;;;;
streikas;strajk;644;NEW;;;;
rinkti;zbierać;645;NEW;;;;
statyti;budować;646;NEW;;;;
netekti;stracić;647;NEW;;;;
įtrauktas;uwzględniony  zaangażowany;648;NEW;;;;
darbo;praca;649;NEW;;;;
oficialus;oficjalny;650;NEW;;;;
formalus;formalny;651;NEW;;;;
dėl  dėl ko;z powodu;652;NEW;;;;
apskritasis;okrągły;653;NEW;;;;
galėti;móc;654;NEW;;;;
kartu su;razem z;655;NEW;;;;
profsąjunga;związek zawodowy;656;NEW;;;;
veikla;aktywność  działalność;657;NEW;;;;
keletą kartų ;kilka razy;658;NEW;;;;
daug kartų;wiele razy;659;NEW;;;;
teismas;sąd;660;NEW;;;;
kaltas;winny;661;NEW;;;;
pripažintas;uznany;662;NEW;;;;
paleistas;wypuszczony;663;NEW;;;;
