pl;lt
kropla;lašas
supeł;mazgas
pazur, paznokieć;nagas
kwadrat;kvadratas
zamek;pilis
śmierć;mirtis
szeroki;platus
statek;laivas
ogień;ugnis
wagon;vagonas
winda;liftas
kangur;kengūra
cegła;plyta
szpinak;špinatas
mleko;pienas
burak;burokas
ryba;žuvis
ptak;paukštis
wyspa;sala
noc;naktis
kompas;kompasas
miód;medus
golić się;skustis
pieniądze;pinigai
jabłko;obuolys
gotować;virti
myć;plauti
gruszka;kriaušės
lecieć;skristi
motyl;drugys
kabel;kabelis
koło;ratas
chmura;debesis
kaloryfer;radiatorius
miasto;miestas
brzuch;pilvas
malować;tapyti
ślimak;sraigė
czosnek;česnakas
medal;medalis
czoło;kaktos
potwór;pabaisa
łosoś;lašiša
głowa;galva
dużo;daug
mało;kalėtės
lekki;lengvas
ciężki;sunkus
kolano;kelis
czas;laikas
tęcza;vaivorykšte
garaż;garažas
termos;termosas
brew;antikas
stół;stalas
ryż;ryžiai
poziomy;horizontalus
pionowy;vertikalus
kukurydza;kukurūzas
skrzynia;skrynia
błoto;purvas
żyrafa;žirafa
dach;stogas
droga;gatvė
wygrać;laimėti
doniczka;vazonas
Chiny;Kinija
piżama;pižama
Estonia;Estija
Finlandia;Suomija
Szwajcaria;Šveicarija
Szwecja;Švedija
Niemcy;Vokietija
Wielka Brytania;Jungtinė Karalystė
Irlandia;Airija
Białoruś;Baltarusija
Ukraina;Ukraina
Rosja;Rusija
wspólny;brendas
który;kuris
wspólnota;brendija
Słowenia;Slovėnija
oraz;bei
oprócz;išskyrus
rynek;rinka
wolny (free);leisvas
szybki;greitas
wolny (nieszybki);lėtas
sok;sultys
krew;kraujas
herbata;arbatos
kawa;kavos
piwo;alus
wojna;karas
konflikt;konfliktas
problem;problema
cel;tikslas
rezultat;rezultatas
przyczyna;priežastis
ołówek;pieštukas
wiatr;vėjas
część;dalis
Grecja;Graikija
Holandia;Nyderlandai
Francja;Prancūzija
rozmiar;dydis
wartość;vertės
cena;kaina
brzeg;krantus
pisać;rašyti
pracować;dirbti
zmiana;kaita
zmieniać;(pa)keisti
morze;jūra
jezioro;ežeras
piasek;smėlis
światło;šviesa
nic;nieko
wszystko;visi
sto;šimtas
tysiąc;tūkstantis
kraj;šalis
kobieta;moteris
mężczyzna;vyras
ludzie;žmonės
marynarz;jūrininkas
po;po
intensywny;intensyvus
jednakże;tačiau
wkrótce, niedługo potem;netrukus
ściana;sienos
podłoga;grindys
sufit;lubos
miły;malonus
grzeczny;mandagus
niemiły;atžarus
cichy;tylus
głośny;garsus
dodatkowy;papildomas
typowy;tipiškas
partner;partneris
pełny;pilnas
pusty;tuščias
pływać;plaukti
krytykować;kritikuoti
kalkulator;kalkuliatorius
cebula;svogūnas
piwnica;rūsys
komórka;mobilusis telefonas
cerkiew;cerkvė
mysz;pelė
kabel;viela
biodro;klubas
rozumieć;suprasti
księżyc;mėnulis
słońce;saulė
mięsień;raumenys
parapet;palangė
łza;ašara
bilet;bilietas
trawa;žolė
krowa;karvė
królowa;karalienė
król;karalius
rzeka;upė
brokuł;brokolis
buty;batas
płot;tvora
lizać;laižyti
kaktus;kaktusas
kubek;puodelis
kran;kranas
gips;gipsas
orka;orka
tygrys;tigras
nosorożec;raganosis
aktor;aktorius
pióro;plunksna
pianino;pianinas
banknot;banknotas
arbuz;arbūzas
podeszwa;padas
pudełko;dėžutė
dom;namas
koza;ožka
anioł;angelas
gówno;šūdas
srać;šikti
głupi;kvailas
inteligentny;protingas
biedny;vargšas
wysoki;aukštas
niski;trumpas
bogaty;turtingas
poniedziałek;pirmadienis
wtorek;antradienis
środa;trečiadienis
czwartek;ketvirtadienis
piątek;penktadienis
sobota;šeštadienis
niedziela;sekmadienis
styczeń;Sausis
luty;Vasaris
marzec;Kovas
kwiecień;Balandis
maj;Gegužė
czerwiec;Birželis
lipiec;Liepa
sierpień;Rugpjūtis
wrzesień;Rugsėjis
październik;Spalis
listopad;Lapkritis
grudzień;Gruodis
fabryka;gamykla
fabryka;fabrikas
firma;įmonė
limit;riba
razem;kartu
razem;drauge
wybory;rinkimus
przemoc;smurtas
być odmiana;esu/esi/yra/esame/esate/yra
iść odmiana;einu/eini/eina/einame/einate/eina
mówić odmiana;sakau/sakai/sako/sakome/sakote/sako
pisać odmiana;rašau/rašai/rašo/rašome/rašote/rašo
brać;paimti
otrzymywać;gauti
pytać;paklausti
odpowiadać;atsakyti
nienawidzić;nekęsti
kochać;mylėti
dodawać;Papildyti
usuwać;Ištrinti
tworzyć;kurti
rządzić;valdyti
pchać;stumti
ciągnąć;traukti
ranić;pakenkti
uderzyć;smogti
kopnąć;spardyti
musieć;Turėti
chcieć;Norėti
znaleźć;rasti
tracić;prarasti
akceptować;patvirtinti
odrzucać;atmesti
gdzie;kur
kto;kas
kiedy;kai
dlaczego;kodėl
od;nuo, iš
do;į
co;koks
szukać;ieškoti
podpis;parašas
karta;kortelė
mieszkanie/dom;būstas
całkowicie;visiškai
przestrzeń;erdvė
wciąż;dar
prąd;elektra
wiadomość;žinia
prawie;beveik
bardzo;labai
móc;galima
11;vienuolika
12;dvylika
wysłać;siųsti
warzywa;daržovių
świeży;šviežias
książka;knyga
msza;mišios
misja;misija
opcja;pasirinkimas
powiedzieć;pasakyti
płakać;verkti
imię, nazwa;pavadinimas
krzyczeć;rėkti
lub, albo;ar
po prostu;paprasčiausiai
łatwy;paprastas
trudny;sunkus
płomień;liepsna
ognisko;laužas
głęboki;gilus
płytki;negilus
konieczne;būtinas
walczyć;kovoti
kierunek;kryptis
instrukcja;nurodymas
i;o
wspaniały;didingas
epoka;epocha
nareszcie, w końcu;pagaliau
naród;tauta
w szczególności;itin
pół;pusė
gazety;laikraščiai
gazeta;laikraštis
słodki;saldus
słony;sūrus
metal;metalas
drewniany;medinis
miękki;minkštas
twardy;kietas
lewy;kairys
prawy;dešinys
łysy;plikas
polityk;politikas
poza;anapus
więc;todėl, taip
procent;procentas
bateria;baterija
słaby;silpnas
silny;stiprus
moc;galia
przed chwilą;ką tik
post, wpis;įrašas
przed;prieš
to;tai
o (czymś);apie
silniejszy;stipresnis
najsilniejszy;stipriausias
rasa;rasė
wypchnąć;išstumti
dla, aby;už
prawdziwy;realus
policzek;skruostas
wąsy;ūsai
broda;barzda
urodziny;gimtadienis
życie;gyvenimas
przestrzeń;plotas
miejsce;vieta
succeed;pavykti
okupować;užimti
moc;valdžia
zostać (become);tapti
zaczynać;prasidėti
tajemnica;paslaptis
dziecko;vaikas
plotka;paskala
miłość;meilė
kobieta;moteris
głośny;garsus
cichy;tylus
cichy, spokojny;ramus
całkiem, raczej (quite);gana
komentarz;komentaras
złoty;auksinis
bezpieczny;saugus
gorący, ciepły;karštas
zimny;šaltis
przeciętny;vidutinis
osobisty;asmeninis
gra;žaidimas
grać;žaisti
kula;rutulys
piłka;kamuolys
raport;raportas
wróg;priešas
przyjaciel;draugas
lista;sąrašas
butelka;butelis
wiosna;pavasaris
lato;vasara
jesień;ruduo
zima;žiema
okulary;akinius
długopis;rašiklis
nagroda;apdovanojimas
pociąg;traukinys
zmieniać;pakeisti
zmiana;kaita
paradoks;paradoksas
krowa;karvė
świnia;kiaulė
sklep;parduotuvė
kraść;pavogti
wrócić;grįžti
przykład;pavyzdys
kraj;šalis
prawda ();tiesa
kłamać;meluoti
śmieć;šiukšlės
szkło;stiklas
liczba;skaičius
wódka;degtinė
alkohol;alkoholis
kłopot;bėda
problem;problema
ranking;reitingas
gość;svečias
cały;visas
zmęczony;pavargęs
zdziwiony;nustebęs
wszystko;visi
słuchawki;ausines
gorzki;kartus
kwaśny;rūgščių
pomóc;padėti
województwo;vaivadija
były, poprzedni;buvęs
założyć (found);įkurti
pokój (peace);taikos
laureat, zwycięzca;laureatas
do;iki
strajk;streikas
zbierać;rinkti
budować;statyti
stracić;netekti
uwzględniony, zaangażowany;įtrauktas
praca;darbo
oficjalny;oficialus
formalny;formalus
z powodu;dėl, dėl ko
okrągły;apskritasis
móc;galėti
razem z;kartu su
związek zawodowy;profsąjunga
aktywność, działalność;veikla
kilka razy;keletą kartų 
wiele razy;daug kartų
sąd;teismas
winny;kaltas
uznany;pripažintas
wypuszczony;paleistas
